Round Number, Network Remaining Energy
-1,150.000000
1,149.997201
2,149.865021
3,149.732990
4,149.599719
5,149.467770
6,149.336341
7,149.198999
8,149.066398
9,148.935204
10,148.802093
11,148.670295
12,148.539288
13,148.402495
14,148.265640
15,148.134336
16,148.001640
17,147.867624
18,147.736680
19,147.601572
20,147.471112
21,147.338103
22,147.206100
23,147.068564
24,146.932480
25,146.799378
26,146.663859
27,146.527245
28,146.391871
29,146.260769
30,146.128363
31,145.993565
32,145.854339
33,145.721910
34,145.589190
35,145.457099
36,145.325429
37,145.193828
38,145.060381
39,144.914323
40,144.771142
41,144.638958
42,144.504163
43,144.372573
44,144.229581
45,144.085200
46,143.950022
47,143.818132
48,143.681545
49,143.672189
50,143.539197
51,143.406269
52,143.274892
53,143.143928
54,143.002373
55,142.870142
56,142.736238
57,142.604261
58,142.470253
59,142.337484
60,142.204474
61,142.062205
62,141.930034
63,141.787702
64,141.647719
65,141.639277
66,141.631586
67,141.624888
68,141.618023
69,141.611302
70,141.604040
71,141.596882
72,141.453905
73,141.445839
74,141.303412
75,141.293619
76,141.153286
77,141.020371
78,140.888959
79,140.883155
80,140.751286
81,140.603267
82,140.469529
83,140.332650
84,140.200492
85,140.068121
86,140.061743
87,139.929712
88,139.790916
89,139.658355
90,139.513907
91,139.377290
92,139.244233
93,139.109773
94,138.977095
95,138.971052
96,138.835432
97,138.703502
98,138.560527
99,138.419153
100,138.272880
101,138.265968
102,138.129688
103,138.123585
104,137.990365
105,137.984945
106,137.852687
107,137.845818
108,137.837923
109,137.831820
110,137.697497
111,137.689242
112,137.553816
113,137.420974
114,137.289033
115,137.152935
116,137.019832
117,136.881604
118,136.741040
119,136.600612
120,136.467423
121,136.335825
122,136.199708
123,136.066617
124,135.933220
125,135.800516
126,135.666444
127,135.533952
128,135.402211
129,135.269239
130,135.262936
131,135.131908
132,135.000392
133,134.993087
134,134.859653
135,134.725093
136,134.594675
137,134.589300
138,134.455603
139,134.321716
140,134.315919
141,134.182430
142,134.041137
143,134.035721
144,133.901896
145,133.767719
146,133.635566
147,133.630191
148,133.489234
149,133.350154
150,133.211972
151,133.076896
152,132.933770
153,132.795906
154,132.789788
155,132.653850
156,132.518994
157,132.378786
158,132.237301
159,132.229758
160,132.097462
161,131.961894
162,131.955524
163,131.819228
164,131.683985
165,131.551219
166,131.418868
167,131.412909
168,131.404737
169,131.265075
170,131.132087
171,130.994411
172,130.860213
173,130.728397
174,130.588768
175,130.582724
176,130.576434
177,130.566239
178,130.435074
179,130.426597
180,130.289775
181,130.153504
182,130.012796
183,129.873121
184,129.738150
185,129.602402
186,129.467488
187,129.331556
188,129.199963
189,129.058373
190,129.052321
191,128.917680
192,128.910571
193,128.774537
194,128.642906
195,128.507429
196,128.373853
197,128.234319
