Round Number, Total Energy Consumption
-1,0.000000
1,0.002799
2,0.134979
3,0.267010
4,0.400281
5,0.532230
6,0.663659
7,0.801001
8,0.933602
9,1.064796
10,1.197907
11,1.329705
12,1.460712
13,1.597505
14,1.734360
15,1.865664
16,1.998360
17,2.132376
18,2.263320
19,2.398428
20,2.528888
21,2.661897
22,2.793900
23,2.931436
24,3.067520
25,3.200622
26,3.336141
27,3.472755
28,3.608129
29,3.739231
30,3.871637
31,4.006435
32,4.145661
33,4.278090
34,4.410810
35,4.542901
36,4.674571
37,4.806172
38,4.939619
39,5.085677
40,5.228858
41,5.361042
42,5.495837
43,5.627427
44,5.770419
45,5.914800
46,6.049978
47,6.181868
48,6.318455
49,6.327811
50,6.460803
51,6.593731
52,6.725108
53,6.856072
54,6.997627
55,7.129858
56,7.263762
57,7.395739
58,7.529747
59,7.662516
60,7.795526
61,7.937795
62,8.069966
63,8.212298
64,8.352281
65,8.360723
66,8.368414
67,8.375112
68,8.381977
69,8.388698
70,8.395960
71,8.403118
72,8.546095
73,8.554161
74,8.696588
75,8.706381
76,8.846714
77,8.979629
78,9.111041
79,9.116845
80,9.248714
81,9.396733
82,9.530471
83,9.667350
84,9.799508
85,9.931879
86,9.938257
87,10.070288
88,10.209084
89,10.341645
90,10.486093
91,10.622710
92,10.755767
93,10.890227
94,11.022905
95,11.028948
96,11.164568
97,11.296498
98,11.439473
99,11.580847
100,11.727120
101,11.734032
102,11.870312
103,11.876415
104,12.009635
105,12.015055
106,12.147313
107,12.154182
108,12.162077
109,12.168180
110,12.302503
111,12.310758
112,12.446184
113,12.579026
114,12.710967
115,12.847065
116,12.980168
117,13.118396
118,13.258960
119,13.399388
120,13.532577
121,13.664175
122,13.800292
123,13.933383
124,14.066780
125,14.199484
126,14.333556
127,14.466048
128,14.597789
129,14.730761
130,14.737064
131,14.868092
132,14.999608
133,15.006913
134,15.140347
135,15.274907
136,15.405325
137,15.410700
138,15.544397
139,15.678284
140,15.684081
141,15.817570
142,15.958863
143,15.964279
144,16.098104
145,16.232281
146,16.364434
147,16.369809
148,16.510766
149,16.649846
150,16.788028
151,16.923104
152,17.066230
153,17.204094
154,17.210212
155,17.346150
156,17.481006
157,17.621214
158,17.762699
159,17.770242
160,17.902538
161,18.038106
162,18.044476
163,18.180772
164,18.316015
165,18.448781
166,18.581132
167,18.587091
168,18.595263
169,18.734925
170,18.867913
171,19.005589
172,19.139787
173,19.271603
174,19.411232
175,19.417276
176,19.423566
177,19.433761
178,19.564926
179,19.573403
180,19.710225
181,19.846496
182,19.987204
183,20.126879
184,20.261850
185,20.397598
186,20.532512
187,20.668444
188,20.800037
189,20.941627
190,20.947679
191,21.082320
192,21.089429
193,21.225463
194,21.357094
195,21.492571
196,21.626147
197,21.765681
198,21.901957
199,22.046815
200,22.179072
201,22.312716
202,22.444646
203,22.576910
204,22.707274
205,22.843205
206,22.976644
207,23.113202
208,23.252319
209,23.386712
210,23.392276
211,23.525779
212,23.531260
213,23.665120
214,23.813737
215,23.946572
216,23.953217
217,24.091950
218,24.224325
219,24.356763
220,24.496005
221,24.502774
222,24.508086
223,24.651804
224,24.657266
225,24.788873
226,24.800450
227,24.937234
228,25.069014
229,25.203718
230,25.338393
231,25.469471
232,25.605334
233,25.737466
234,25.870927
235,26.001531
236,26.006971
237,26.148883
238,26.281530
239,26.414441
240,26.562418
241,26.568788
242,26.575634
243,26.712495
244,26.858163
245,26.991065
246,26.998445
247,27.132192
248,27.285097
249,27.291267
250,27.423797
251,27.431345
252,27.566502
253,27.704166
254,27.848001
255,27.986521
256,28.118731
257,28.127325
258,28.259963
259,28.393991
260,28.528623
261,28.664843
262,28.796446
263,28.805018
264,28.937631
265,28.944584
266,29.080629
267,29.216772
268,29.348536
269,29.480033
270,29.617131
271,29.750011
272,29.886465
273,30.020659
274,30.161902
275,30.293433
276,30.299425
277,30.430917
278,30.561944
279,30.696519
280,30.828127
281,30.960187
282,31.095707
283,31.226822
284,31.362395
285,31.495243
286,31.501955
287,31.507590
288,31.642456
289,31.779659
290,31.911099
291,32.052094
292,32.188409
293,32.193227
294,32.332742
295,32.338989
296,32.472519
297,32.479267
298,32.618581
299,32.754392
300,32.893143
301,33.024088
302,33.159446
303,33.290672
304,33.423952
305,33.433678
306,33.565990
307,33.573280
308,33.717095
309,33.849451
310,33.993237
311,34.000296
312,34.133936
313,34.271402
314,34.404054
315,34.540577
316,34.546223
317,34.553408
318,34.559093
319,34.694099
320,34.827208
321,34.836790
322,34.967825
323,35.099451
324,35.238712
325,35.376144
326,35.508051
327,35.649962
328,35.781393
329,35.930135
330,36.076545
331,36.212690
332,36.362415
333,36.370171
334,36.502525
335,36.509850
336,36.643657
337,36.651505
338,36.783549
339,36.915521
340,37.053400
341,37.202441
342,37.343792
343,37.474928
344,37.607372
345,37.613749
346,37.762301
347,37.896937
348,38.035694
349,38.167754
350,38.300409
351,38.437082
352,38.571672
353,38.715861
354,38.846714
355,38.977547
356,39.110212
357,39.245473
358,39.384643
359,39.520939
360,39.661227
361,39.668569
362,39.805945
363,39.813842
364,39.945994
365,40.092781
366,40.231068
367,40.368491
368,40.499405
369,40.506615
370,40.648587
371,40.785469
372,40.923151
373,41.058840
374,41.195708
375,41.328357
376,41.334902
377,41.466108
378,41.476906
379,41.609226
380,41.617610
381,41.749916
382,41.894577
383,42.031276
384,42.167689
385,42.298887
386,42.307425
387,42.454902
388,42.589786
389,42.723307
390,42.861257
391,42.996869
392,43.003714
393,43.009738
394,43.017058
395,43.156226
396,43.294762
397,43.442456
398,43.575963
399,43.712770
400,43.847407
401,43.853401
402,43.986376
403,44.123360
404,44.254849
405,44.403537
406,44.536706
407,44.670079
408,44.677155
409,44.812859
410,44.818109
411,44.825264
412,44.959786
413,44.969093
414,45.103180
415,45.240353
416,45.373857
417,45.507336
418,45.638301
419,45.782070
420,45.921732
421,45.932883
422,46.064290
423,46.201399
424,46.332541
425,46.464903
426,46.623686
427,46.754588
428,46.885672
429,47.020902
430,47.152427
431,47.158820
432,47.290392
433,47.424662
434,47.563748
435,47.698748
436,47.831545
437,47.968880
438,48.100677
439,48.233436
440,48.365651
441,48.500048
442,48.635217
443,48.767451
444,48.905066
445,49.037170
446,49.042620
447,49.047879
448,49.053455
449,49.191915
450,49.331185
451,49.336486
452,49.473858
453,49.605294
454,49.613066
455,49.748932
456,49.755660
457,49.895204
458,49.901752
459,49.910836
460,50.041844
461,50.194725
462,50.339232
463,50.471412
464,50.480898
465,50.614894
466,50.758316
467,50.906179
468,51.038970
469,51.178474
470,51.314413
471,51.324086
472,51.458005
473,51.590572
474,51.721740
475,51.860023
476,52.003861
477,52.144563
478,52.152276
479,52.284983
480,52.417113
481,52.559845
482,52.570595
483,52.709095
484,52.843942
485,52.851172
486,52.856398
487,52.862832
488,52.994018
489,53.127003
490,53.134623
491,53.266962
492,53.404200
493,53.540561
494,53.546982
495,53.687138
496,53.821684
497,53.963108
498,53.970950
499,54.104664
500,54.237098
501,54.243312
502,54.379678
503,54.522647
504,54.665043
505,54.806004
506,54.943104
507,55.075241
508,55.220907
509,55.354490
510,55.360737
511,55.493102
512,55.499390
513,55.506439
514,55.512949
515,55.646054
516,55.778667
517,55.916407
518,56.048741
519,56.187335
520,56.331477
521,56.465649
522,56.600463
523,56.739688
524,56.870805
525,57.015701
526,57.147136
527,57.279628
528,57.415241
529,57.555951
530,57.690107
531,57.824000
532,57.833714
533,57.839628
534,57.970359
535,58.101576
536,58.251373
537,58.263000
538,58.402370
539,58.407840
540,58.549923
541,58.681109
542,58.833938
543,58.971944
544,58.977918
545,59.109928
546,59.244412
547,59.252220
548,59.385406
549,59.519729
550,59.656675
551,59.798716
552,59.932107
553,60.077844
554,60.217808
555,60.364039
556,60.505247
557,60.653910
558,60.789454
559,60.926859
560,60.933610
561,60.939806
562,60.946446
563,61.087059
564,61.093495
565,61.229795
566,61.238893
567,61.372041
568,61.503780
569,61.645669
570,61.782382
571,61.915980
572,61.925208
573,62.058694
574,62.204302
575,62.341723
576,62.480931
577,62.611266
578,62.742286
579,62.880325
580,63.015504
581,63.161426
582,63.308379
583,63.315460
584,63.453159
585,63.585796
586,63.591957
587,63.598880
588,63.733429
589,63.867129
590,64.002109
591,64.147641
592,64.282043
593,64.418645
594,64.557466
595,64.702403
596,64.837232
597,64.843711
598,64.979402
599,65.111593
600,65.247408
601,65.380419
602,65.517975
603,65.649050
604,65.783206
605,65.790027
606,65.923201
607,65.929329
608,66.069025
609,66.201648
610,66.334778
611,66.475581
612,66.483159
613,66.624454
614,66.761835
615,66.902363
616,67.033490
617,67.039687
618,67.047358
619,67.182243
620,67.191043
621,67.322570
622,67.328652
623,67.461704
624,67.595503
625,67.735418
626,67.873446
627,67.882755
628,67.891573
629,68.029016
630,68.038256
631,68.175025
632,68.312589
633,68.320708
634,68.453362
635,68.583636
636,68.593649
637,68.729741
638,68.736426
639,68.876019
640,69.008509
641,69.016917
642,69.023964
643,69.154072
644,69.160998
645,69.292955
646,69.428208
647,69.436132
648,69.570558
649,69.710720
650,69.849593
651,69.858524
652,69.990631
653,70.124161
654,70.129970
655,70.261352
656,70.391987
657,70.531019
658,70.667341
659,70.801855
660,70.939181
661,70.946312
662,71.078771
663,71.222442
664,71.232247
665,71.364173
666,71.499804
667,71.507814
668,71.641936
