Round Number, No of CH
-1,0
1,5
2,6
3,6
4,6
5,6
6,6
7,6
8,5
9,6
10,6
11,6
12,6
13,6
14,5
15,6
16,5
17,6
18,6
19,6
20,6
21,5
22,5
23,5
24,5
25,6
26,6
27,6
28,6
29,6
30,5
31,6
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,4
41,5
42,5
43,5
44,4
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,7
61,7
62,6
63,6
64,5
65,6
66,6
67,6
68,5
69,6
70,6
71,6
72,5
73,5
74,5
75,5
76,5
77,6
78,6
79,5
80,6
81,6
82,6
83,6
84,6
85,6
86,5
87,6
88,6
89,6
90,6
91,6
92,6
93,5
94,5
95,5
96,6
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,4
106,5
107,5
108,5
109,4
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,6
124,6
125,5
126,5
127,6
128,6
129,5
130,6
131,6
132,6
133,5
134,6
135,6
136,6
137,5
138,6
139,6
140,5
141,6
142,6
143,5
144,6
145,6
146,6
147,5
148,5
149,6
150,6
151,5
152,6
153,6
154,5
155,5
156,6
157,6
158,6
159,4
160,5
161,7
162,5
163,6
164,6
165,6
166,5
167,5
168,5
169,5
170,6
171,6
172,6
173,5
174,6
175,5
176,5
177,5
178,6
179,5
180,5
181,5
182,6
183,5
184,5
185,6
186,6
187,5
188,5
189,5
190,5
191,6
192,4
193,6
194,6
195,6
196,5
197,6
198,6
199,6
200,6
201,5
202,5
203,6
204,6
205,6
206,5
207,6
208,6
209,5
210,6
211,5
212,5
213,5
214,7
215,6
216,6
217,6
218,6
219,5
220,6
221,5
222,5
223,6
224,5
225,5
226,6
227,5
228,6
229,6
230,5
231,6
232,6
233,5
234,6
235,6
236,5
237,6
238,6
239,5
240,5
241,5
242,5
243,6
244,6
245,6
246,5
247,5
248,5
249,5
250,6
251,5
252,6
253,5
254,5
255,5
256,5
257,6
258,5
259,5
260,5
261,6
262,6
263,5
264,7
265,6
266,5
267,6
268,6
269,5
270,6
271,6
272,5
273,5
274,6
275,5
276,5
277,6
278,6
279,6
280,6
281,5
282,6
283,6
284,6
285,6
286,6
287,4
288,7
289,6
290,6
291,6
292,6
293,5
294,5
295,5
296,6
297,5
298,6
299,6
300,6
301,6
302,6
303,6
304,4
305,5
306,6
307,5
308,6
309,5
310,6
311,5
312,6
313,5
314,6
315,6
316,5
317,5
318,6
319,6
320,6
321,6
322,5
323,5
324,6
325,5
326,5
327,6
328,5
329,5
330,6
331,6
332,5
333,5
334,5
335,5
336,5
337,6
338,5
339,5
340,6
341,6
342,5
343,6
344,6
345,5
346,7
347,5
348,5
349,6
350,6
351,6
352,6
353,5
354,6
355,6
356,6
357,6
358,6
359,5
360,6
361,5
362,5
363,6
364,6
365,6
366,6
367,5
368,6
369,6
370,5
371,6
372,6
373,6
374,6
375,6
376,6
377,5
378,5
379,6
380,6
381,6
382,6
383,6
384,6
385,6
386,5
387,6
388,6
389,6
390,6
391,5
392,5
393,5
394,5
395,6
396,5
397,6
398,6
399,6
400,6
401,5
402,6
403,6
404,6
405,5
406,6
407,5
408,5
409,6
410,5
411,5
412,6
413,6
414,6
415,6
416,6
417,6
418,6
419,6
420,6
421,5
422,6
423,5
424,6
425,5
426,6
427,6
428,6
429,6
430,6
431,6
432,6
433,5
434,6
435,6
436,6
437,6
438,6
439,6
440,6
441,6
442,5
443,6
444,5
445,6
446,5
447,5
448,5
449,6
450,6
451,5
452,6
453,6
454,5
455,6
456,5
457,6
458,6
459,6
460,6
461,6
462,6
463,6
464,5
465,6
466,6
467,6
468,6
469,6
470,6
471,6
472,6
473,6
474,6
475,6
476,6
477,7
478,5
479,6
480,6
481,6
482,6
483,6
484,6
485,6
486,5
487,5
488,6
489,5
490,6
491,7
492,6
493,6
494,6
495,6
496,5
497,5
498,5
499,6
500,6
501,5
502,5
503,6
504,7
505,5
506,6
507,6
508,6
509,5
510,5
511,6
512,5
513,6
514,5
515,6
516,6
517,6
518,6
519,7
520,6
521,5
522,5
523,6
524,5
525,5
526,6
527,5
528,6
529,5
530,6
531,5
532,6
533,5
534,6
535,7
536,6
537,6
538,5
539,6
540,7
541,6
542,6
543,6
544,6
545,6
546,7
547,6
548,6
549,7
550,6
551,7
552,7
553,6
554,6
555,6
556,6
557,6
558,5
559,7
560,5
561,5
562,6
563,6
564,5
565,6
566,6
567,6
568,6
569,6
570,6
571,6
572,6
573,6
574,6
575,6
576,6
577,6
578,6
579,5
580,5
581,6
582,5
583,5
584,5
585,7
586,5
587,6
588,6
589,6
590,5
591,6
592,6
593,6
594,5
595,6
596,6
597,6
598,6
599,6
600,6
601,6
602,6
603,6
604,7
605,6
606,7
607,5
608,6
609,6
610,6
611,6
612,5
613,6
614,5
615,6
616,6
617,5
618,6
619,6
620,5
621,5
622,6
623,6
624,6
625,6
626,6
627,6
628,6
629,6
630,6
631,6
632,6
633,5
634,6
635,6
636,6
637,6
638,6
639,6
640,6
641,6
642,6
643,7
644,6
645,6
646,6
647,6
648,6
649,6
650,6
651,6
652,6
653,6
654,6
655,6
656,6
657,6
658,7
659,6
660,5
661,5
662,5
663,6
664,6
665,6
666,7
667,5
668,5
669,6
670,6
671,6
672,6
673,5
674,6
675,6
676,5
677,5
678,5
679,7
680,5
681,6
682,5
683,6
684,6
685,6
686,7
687,6
688,7
689,7
690,6
691,6
692,7
693,5
694,5
695,6
696,6
697,7
698,6
699,7
700,6
701,5
702,5
703,6
704,6
705,6
706,5
707,6
708,6
709,6
710,6
711,6
712,6
713,6
714,6
715,6
716,6
717,6
718,6
719,6
720,6
721,6
722,5
723,6
724,5
725,6
726,6
727,6
728,6
729,6
730,6
731,5
732,7
733,7
734,6
735,6
736,6
737,6
738,7
739,6
740,6
741,6
742,6
743,7
744,7
745,7
746,6
747,7
748,6
749,6
750,6
751,6
752,6
753,6
754,6
755,6
756,6
757,6
758,6
759,5
760,6
761,5
762,6
763,5
764,6
765,6
766,5
767,5
768,6
769,6
770,5
771,5
772,6
773,5
774,6
775,5
776,6
777,6
778,5
779,6
780,6
781,6
782,6
783,6
784,6
785,6
786,5
787,6
788,7
789,6
790,6
791,6
792,6
793,6
794,6
795,6
796,6
797,6
798,6
799,6
800,6
801,6
802,7
803,6
804,6
805,6
806,6
807,6
808,6
809,6
810,6
811,6
812,5
813,7
814,5
815,6
816,6
817,6
818,6
819,6
820,6
821,6
822,7
823,6
824,6
825,6
826,6
827,6
828,5
829,6
830,6
831,6
832,7
833,6
834,6
835,7
836,6
837,6
838,6
839,6
840,6
841,6
842,6
