Round Number, Network Remaining Energy
-1,50.000000
1,49.998973
2,49.893426
3,49.821327
4,49.731319
5,49.636893
6,49.545159
7,49.485246
8,49.402934
9,49.320535
10,49.242493
11,49.217637
12,49.122121
13,49.034707
14,48.940053
15,48.860898
16,48.765743
17,48.694198
18,48.600963
19,48.502247
20,48.411609
21,48.319703
22,48.252792
23,48.180389
24,48.101211
25,48.005284
26,47.909783
27,47.812256
28,47.807403
29,47.727524
30,47.668817
31,47.576684
32,47.513487
33,47.418950
34,47.334297
35,47.270542
36,47.250991
37,47.154221
38,47.068679
39,46.985548
40,46.980629
41,46.888545
42,46.775611
43,46.711413
44,46.653508
45,46.573805
46,46.498501
47,46.404429
48,46.318867
49,46.261260
50,46.198606
51,46.107472
52,46.042491
53,45.974548
54,45.969816
55,45.909096
56,45.813038
57,45.723896
58,45.658288
59,45.586272
60,45.499292
61,45.413029
62,45.402056
63,45.345845
64,45.257978
65,45.162122
66,45.079038
67,44.998790
68,44.941455
69,44.858333
70,44.787908
71,44.697511
72,44.608410
73,44.531218
74,44.472598
75,44.374817
76,44.291480
77,44.200585
78,44.172593
79,44.096343
80,43.994339
81,43.903939
82,43.847773
83,43.788493
84,43.710541
85,43.652932
86,43.593161
87,43.492562
88,43.398604
89,43.314952
90,43.235946
91,43.162818
92,43.120517
93,43.041145
94,42.946644
95,42.845899
96,42.772074
97,42.690814
98,42.628946
99,42.562462
100,42.493891
101,42.410371
102,42.324272
103,42.237026
104,42.176414
105,42.082288
106,42.016917
107,41.932264
108,41.894344
109,41.807303
110,41.724449
111,41.668502
112,41.573595
113,41.500712
114,41.422083
115,41.326392
116,41.232692
117,41.131215
118,41.098550
119,41.041897
120,40.966992
121,40.879495
122,40.785756
123,40.689159
124,40.602112
125,40.492011
126,40.435744
127,40.378742
128,40.349738
129,40.283329
130,40.184416
131,40.108599
132,40.051008
133,39.987117
134,39.887452
135,39.796920
136,39.749966
137,39.682319
138,39.625122
139,39.538569
140,39.439879
141,39.347745
142,39.253161
143,39.159086
144,39.094632
145,39.071832
146,39.004277
147,38.921690
148,38.826441
149,38.766643
150,38.671146
151,38.614542
152,38.532974
153,38.474122
154,38.397327
155,38.306573
156,38.301823
157,38.236141
158,38.151513
159,38.049715
160,37.953985
161,37.890320
162,37.886405
163,37.790431
164,37.708413
165,37.614674
166,37.534320
167,37.465571
168,37.386470
169,37.296135
170,37.231736
171,37.215830
172,37.124378
173,37.051012
174,36.965481
175,36.899952
176,36.785001
177,36.704972
178,36.649189
179,36.568439
180,36.556522
181,36.487679
182,36.398321
183,36.310842
184,36.219700
185,36.130911
186,36.028933
187,35.968613
188,35.888977
189,35.805654
190,35.739277
191,35.643454
192,35.587240
193,35.583333
194,35.492348
195,35.404162
196,35.346693
197,35.284218
198,35.225802
199,35.142403
200,35.046748
201,34.985989
202,34.903417
203,34.841391
204,34.665796
205,34.579540
206,34.507270
207,34.448499
208,34.364033
209,34.307375
210,34.247152
211,34.166448
212,34.108484
213,34.041469
214,33.965474
215,33.857163
216,33.802004
217,33.725772
218,33.705521
219,33.622904
220,33.551979
221,33.492174
222,33.418407
223,33.339297
224,33.248801
225,33.191928
226,33.112996
227,33.023008
228,32.928084
229,32.901779
230,32.833684
231,32.761839
232,32.681796
233,32.625475
234,32.538842
235,32.503404
236,32.431664
237,32.362453
238,32.278437
239,32.216473
240,32.157274
241,32.091439
242,32.032985
243,31.962295
244,31.876602
245,31.872783
246,31.791472
247,31.685148
248,31.606745
249,31.549684
250,31.515397
251,31.445010
252,31.353965
253,31.297394
254,31.239951
255,31.145974
256,31.046244
257,30.983544
258,30.924969
259,30.841301
260,30.780487
261,30.718940
262,30.646173
263,30.539863
264,30.449950
265,30.367589
266,30.363354
267,30.270577
268,30.180171
269,30.112624
270,30.023483
271,29.949361
272,29.894688
273,29.809550
274,29.746139
275,29.662770
276,29.659437
277,29.595614
278,29.515475
279,29.421386
280,29.360294
281,29.282552
282,29.210087
283,29.158434
284,29.083985
285,29.000856
286,28.925111
287,28.855463
288,28.788512
289,28.784600
290,28.720649
291,28.634742
292,28.565591
293,28.511490
294,28.445564
295,28.370811
296,28.351207
297,28.290857
298,28.218692
299,28.125901
300,28.047560
301,28.043679
302,27.992779
303,27.929253
304,27.859450
305,27.795868
306,27.736839
307,27.686085
308,27.628584
309,27.571411
310,27.502874
311,27.487787
312,27.433588
313,27.375226
314,27.317578
315,27.243332
316,27.190769
317,27.128185
318,27.065793
319,27.013419
320,26.945836
321,26.884712
322,26.863281
323,26.808275
324,26.739263
325,26.668920
326,26.603927
327,26.549291
328,26.487388
329,26.436758
330,26.364803
331,26.305078
332,26.256497
333,26.201670
334,26.130879
335,26.078951
336,26.028245
337,25.977220
338,25.892435
339,25.837215
340,25.812275
341,25.762175
342,25.706862
343,25.647697
344,25.579895
345,25.511333
346,25.461004
347,25.409809
348,25.357072
349,25.289370
350,25.237734
351,25.184467
352,25.121530
353,25.051626
354,25.047151
355,24.978405
356,24.914676
357,24.863639
358,24.810137
359,24.749319
360,24.682338
361,24.631930
362,24.565344
363,24.504007
364,24.499673
365,24.435156
366,24.374804
367,24.314716
368,24.249464
369,24.198250
370,24.148568
371,24.098481
372,24.044580
373,23.985158
374,23.967536
375,23.910136
376,23.858749
377,23.799557
378,23.741261
379,23.689988
380,23.655301
381,23.588436
382,23.535510
383,23.487269
384,23.437130
385,23.382023
386,23.324911
387,23.265101
388,23.214969
389,23.165427
390,23.095016
391,23.032649
392,22.980540
393,22.930370
394,22.880432
395,22.832152
396,22.780430
397,22.714838
398,22.657962
399,22.645406
400,22.596663
401,22.586435
402,22.535342
403,22.480979
404,22.425708
405,22.373885
406,22.323316
407,22.263724
408,22.215276
409,22.161198
410,22.105109
411,22.052934
412,21.996544
413,21.961650
414,21.910788
415,21.847570
416,21.785009
417,21.734453
418,21.686592
419,21.634858
420,21.586547
421,21.526703
422,21.479891
423,21.431698
424,21.374522
425,21.315179
426,21.274724
427,21.215636
428,21.165702
429,21.115461
430,21.061688
431,20.981090
432,20.935308
433,20.895876
434,20.838460
435,20.834652
436,20.794059
437,20.754068
438,20.711691
439,20.665780
440,20.622292
441,20.572454
442,20.532224
443,20.490310
444,20.439205
445,20.393686
446,20.352639
447,20.342023
448,20.293711
449,20.246657
450,20.218532
451,20.174385
452,20.128257
453,20.086008
454,20.044204
455,20.000921
456,19.956291
457,19.909364
458,19.863767
459,19.821356
460,19.771475
461,19.723223
462,19.678788
463,19.635705
464,19.587787
465,19.548519
466,19.506315
467,19.502944
468,19.453118
469,19.414533
470,19.375612
471,19.332988
472,19.291458
473,19.251531
474,19.211763
