Round Number, Total Energy Consumption
-1,0.000000
1,0.001027
2,0.106574
3,0.178673
4,0.268681
5,0.363107
6,0.454841
7,0.514754
8,0.597066
9,0.679465
10,0.757507
11,0.782363
12,0.877879
13,0.965293
14,1.059947
15,1.139102
16,1.234257
17,1.305802
18,1.399037
19,1.497753
20,1.588391
21,1.680297
22,1.747208
23,1.819611
24,1.898789
25,1.994716
26,2.090217
27,2.187744
28,2.192597
29,2.272476
30,2.331183
31,2.423316
32,2.486513
33,2.581050
34,2.665703
35,2.729458
36,2.749009
37,2.845779
38,2.931321
39,3.014452
40,3.019371
41,3.111455
42,3.224389
43,3.288587
44,3.346492
45,3.426195
46,3.501499
47,3.595571
48,3.681133
49,3.738740
50,3.801394
51,3.892528
52,3.957509
53,4.025452
54,4.030184
55,4.090904
56,4.186962
57,4.276104
58,4.341712
59,4.413728
60,4.500708
61,4.586971
62,4.597944
63,4.654155
64,4.742022
65,4.837878
66,4.920962
67,5.001210
68,5.058545
69,5.141667
70,5.212092
71,5.302489
72,5.391590
73,5.468782
74,5.527402
75,5.625183
76,5.708520
77,5.799415
78,5.827407
79,5.903657
80,6.005661
81,6.096061
82,6.152227
83,6.211507
84,6.289459
85,6.347068
86,6.406839
87,6.507438
88,6.601396
89,6.685048
90,6.764054
91,6.837182
92,6.879483
93,6.958855
94,7.053356
95,7.154101
96,7.227926
97,7.309186
98,7.371054
99,7.437538
100,7.506109
101,7.589629
102,7.675728
103,7.762974
104,7.823586
105,7.917712
106,7.983083
107,8.067736
108,8.105656
109,8.192697
110,8.275551
111,8.331498
112,8.426405
113,8.499288
114,8.577917
115,8.673608
116,8.767308
117,8.868785
118,8.901450
119,8.958103
120,9.033008
121,9.120505
122,9.214244
123,9.310841
124,9.397888
125,9.507989
126,9.564256
127,9.621258
128,9.650262
129,9.716671
130,9.815584
131,9.891401
132,9.948992
133,10.012883
134,10.112548
135,10.203080
136,10.250034
137,10.317681
138,10.374878
139,10.461431
140,10.560121
141,10.652255
142,10.746839
143,10.840914
144,10.905368
145,10.928168
146,10.995723
147,11.078310
148,11.173559
149,11.233357
150,11.328854
151,11.385458
152,11.467026
153,11.525878
154,11.602673
155,11.693427
156,11.698177
157,11.763859
158,11.848487
159,11.950285
160,12.046015
161,12.109680
162,12.113595
163,12.209569
164,12.291587
165,12.385326
166,12.465680
167,12.534429
168,12.613530
169,12.703865
170,12.768264
171,12.784170
172,12.875622
173,12.948988
174,13.034519
175,13.100048
176,13.214999
177,13.295028
178,13.350811
179,13.431561
180,13.443478
181,13.512321
182,13.601679
183,13.689158
184,13.780300
185,13.869089
186,13.971067
187,14.031387
188,14.111023
189,14.194346
190,14.260723
191,14.356546
192,14.412760
193,14.416667
194,14.507652
195,14.595838
196,14.653307
197,14.715782
198,14.774198
199,14.857597
200,14.953252
201,15.014011
202,15.096583
203,15.158609
204,15.334204
205,15.420460
206,15.492730
207,15.551501
208,15.635967
209,15.692625
210,15.752848
211,15.833552
212,15.891516
213,15.958531
