Round Number, No of CH
-1,0
1,10
2,8
3,10
4,10
5,10
6,10
7,7
8,10
9,10
10,10
11,10
12,10
13,7
14,10
15,6
16,9
17,10
18,10
19,7
20,7
21,10
22,10
23,8
24,9
25,10
26,10
27,9
28,10
29,9
30,10
31,9
32,10
33,4
34,6
35,10
36,10
37,9
38,10
39,6
40,8
41,8
42,7
43,8
44,10
45,8
46,10
47,10
48,10
49,10
50,10
51,6
52,6
53,10
54,7
55,10
56,4
57,10
58,10
59,10
60,7
61,6
62,10
63,10
64,10
65,8
66,10
67,8
68,10
69,9
70,10
71,10
72,6
73,10
74,10
75,9
76,10
77,10
78,10
79,4
80,8
81,4
82,10
83,10
84,8
85,10
86,10
87,7
88,5
89,10
90,10
91,10
92,10
93,10
94,8
95,7
96,10
97,8
98,5
99,10
100,10
101,9
102,8
103,7
104,10
105,9
106,10
107,8
108,10
109,10
110,8
111,10
112,10
113,9
114,9
115,8
116,9
117,8
118,10
119,10
120,6
121,10
122,6
123,10
124,7
125,10
126,10
127,10
128,8
129,10
130,9
131,10
132,6
133,8
134,10
135,10
136,10
137,7
138,10
139,4
140,9
141,7
142,10
143,6
144,10
145,10
146,10
147,10
148,8
149,10
150,10
151,10
152,9
153,7
154,10
155,10
156,10
157,9
158,6
159,7
160,8
161,10
162,10
163,9
164,8
165,10
166,10
167,10
168,10
169,8
170,10
171,10
172,10
173,7
174,8
175,10
176,7
177,6
178,10
179,7
180,10
181,10
182,4
183,10
184,7
185,10
186,10
187,10
188,10
189,9
190,10
191,10
192,10
193,7
194,7
195,10
196,5
197,10
198,10
199,6
200,10
201,10
202,5
203,10
204,6
205,10
206,10
207,10
208,8
209,10
210,10
211,8
212,10
213,10
214,4
215,9
216,10
217,7
218,8
219,8
220,7
221,10
222,10
223,9
224,8
225,10
226,8
227,10
228,4
229,10
230,4
231,10
232,5
233,10
234,7
235,10
236,10
237,10
238,4
239,10
240,10
241,4
242,10
243,10
244,9
245,9
246,7
247,10
248,9
249,10
250,10
251,10
252,10
253,5
254,7
255,10
256,10
257,10
258,8
259,10
260,10
261,10
262,7
263,9
264,9
265,10
266,9
267,9
268,10
269,8
270,9
271,10
272,10
273,8
274,8
275,10
276,10
277,10
278,10
279,8
280,6
281,9
282,8
283,10
284,10
285,10
286,10
287,10
288,7
289,8
290,5
291,7
292,9
293,10
294,7
295,8
296,10
297,10
298,10
299,8
300,10
301,10
302,8
303,9
304,10
305,5
306,10
307,6
308,10
309,9
310,10
311,10
312,7
313,4
314,10
315,10
316,10
317,6
318,7
319,8
320,6
321,10
322,10
323,7
324,10
325,10
326,10
327,7
328,8
329,10
330,9
331,10
332,10
333,6
334,10
335,8
336,7
337,10
338,8
339,6
340,10
341,10
342,10
343,5
344,7
345,6
346,10
347,8
348,10
349,7
350,10
351,10
352,10
353,7
354,4
355,9
356,9
357,8
358,8
359,8
360,10
361,10
362,10
363,7
364,8
365,10
366,4
367,6
368,4
369,10
370,9
371,10
372,8
373,9
374,9
375,10
376,10
377,4
378,7
379,8
380,9
381,9
382,9
383,8
384,8
385,10
386,9
387,6
388,7
389,10
390,9
391,10
392,8
393,7
394,9
395,10
396,6
397,9
398,6
399,10
400,7
401,10
402,8
403,9
404,10
405,8
406,4
407,3
408,10
409,9
410,6
411,4
412,10
413,10
414,9
415,5
416,7
417,9
418,10
419,10
420,8
421,8
422,10
423,4
424,10
425,8
426,7
427,10
428,7
429,6
430,5
431,2
432,7
433,10
434,5
435,7
436,8
437,10
438,10
439,7
440,3
441,5
442,10
443,10
444,10
445,4
446,9
447,9
448,7
449,10
450,10
451,4
452,8
453,9
454,10
455,6
456,10
457,8
458,5
459,8
460,5
461,6
462,6
463,3
464,8
465,10
466,7
467,9
468,8
469,10
470,6
471,9
472,10
473,6
474,8
475,4
476,9
477,5
478,8
479,10
480,6
481,6
482,10
483,7
484,8
485,10
486,10
487,8
488,4
489,7
490,10
491,6
492,3
493,6
494,7
495,5
496,10
497,8
498,10
499,9
500,10
501,9
502,9
503,5
504,6
505,10
506,6
507,5
508,10
509,7
510,7
511,10
512,4
513,9
514,6
515,8
516,10
517,9
518,6
519,10
520,3
521,10
522,6
523,9
524,6
525,10
526,10
527,10
528,7
529,3
530,9
531,7
532,6
533,8
534,10
535,10
536,6
537,10
538,3
539,5
540,8
541,8
542,7
543,9
544,6
545,6
546,8
547,7
548,8
549,10
550,6
551,6
552,10
553,6
554,7
555,10
556,9
557,3
558,10
559,9
560,10
561,9
562,5
563,9
564,9
565,5
566,4
567,7
568,10
569,8
570,7
571,9
572,10
573,9
574,10
575,5
576,7
577,3
578,8
579,7
580,8
581,10
582,5
583,6
584,10
585,5
586,10
587,9
588,7
589,3
590,10
591,10
592,8
593,4
594,9
595,6
596,4
597,7
598,6
599,10
600,7
601,9
602,7
603,1
604,6
