Round Number, Throughput
-1,0
1,1
2,92
3,90
4,90
5,90
6,90
7,93
8,90
9,90
10,90
11,9
12,90
13,93
14,90
15,94
16,91
17,90
18,90
19,93
20,93
21,90
22,90
23,92
24,91
25,90
26,90
27,91
28,10
29,91
30,90
31,91
32,90
33,96
34,94
35,90
36,36
37,91
38,90
39,94
40,10
41,92
42,93
43,92
44,90
45,92
46,90
47,90
48,90
49,90
50,90
51,94
52,94
53,90
54,10
55,90
56,96
57,90
58,90
59,90
60,93
61,94
62,8
63,90
64,90
65,92
66,90
67,92
68,90
69,91
70,90
71,90
72,94
73,90
74,90
75,91
76,90
77,90
78,26
79,96
80,92
81,96
82,90
83,90
84,92
85,90
86,90
87,93
88,95
89,90
90,90
91,90
92,29
93,90
94,92
95,93
96,90
97,92
98,95
99,90
100,90
101,91
102,92
103,93
104,90
105,91
106,90
107,92
108,28
109,90
110,92
111,90
112,90
113,91
114,91
115,92
116,91
117,92
118,73
119,90
120,94
121,90
122,94
123,90
124,93
125,90
126,90
127,90
128,28
129,90
130,91
131,90
132,94
133,92
134,90
135,90
136,28
137,93
138,90
139,96
140,91
141,93
142,90
143,94
144,90
145,35
146,90
147,90
148,92
149,90
150,90
151,90
152,91
153,93
154,90
155,90
156,10
157,91
158,94
159,93
160,92
161,90
162,8
163,91
164,92
165,90
166,90
167,90
168,90
169,92
170,90
171,9
172,90
173,93
174,92
175,90
176,93
177,94
178,90
179,93
180,8
181,90
182,96
183,90
184,93
185,90
186,90
187,90
188,90
189,91
190,90
191,90
192,90
193,8
194,93
195,90
196,95
197,90
198,90
199,94
200,90
201,90
202,95
203,90
204,94
205,90
206,90
207,90
208,92
209,90
210,90
211,92
212,90
213,90
214,96
215,91
216,90
217,93
218,10
219,92
220,94
221,90
222,91
223,92
224,93
225,91
226,93
227,91
228,97
229,25
230,97
231,90
232,96
233,91
234,94
235,10
236,91
237,91
238,97
239,91
240,91
241,97
242,91
243,91
244,91
245,8
246,94
247,91
248,92
249,91
250,73
251,91
252,91
253,96
254,93
255,91
256,91
257,91
258,93
259,91
260,91
261,90
262,94
263,93
264,93
265,92
266,9
267,93
268,92
269,94
270,93
271,94
272,94
273,96
274,96
275,94
276,8
277,94
278,94
279,92
280,98
281,95
282,96
283,95
284,90
285,95
286,96
287,96
288,99
289,9
290,101
291,99
292,97
293,96
294,99
295,98
296,37
297,96
298,96
299,98
300,97
301,9
302,92
303,98
304,97
305,102
306,97
307,101
308,97
309,98
310,97
311,10
312,100
313,96
314,97
315,97
316,97
317,101
318,100
319,99
320,101
321,97
322,38
323,93
324,98
325,98
326,98
327,101
328,100
329,98
330,99
331,98
332,90
333,102
334,98
335,100
336,101
337,98
338,100
339,102
340,9
341,98
342,98
343,103
344,101
345,102
346,90
347,100
348,98
349,101
350,98
351,98
352,98
353,101
354,10
355,99
356,91
357,100
358,100
359,100
360,98
361,98
362,98
363,101
364,10
365,98
366,105
367,103
368,105
369,100
370,101
371,100
372,92
373,101
374,39
375,100
376,100
377,106
378,103
379,102
380,80
381,101
382,101
383,102
384,102
385,100
386,101
387,104
388,93
389,100
390,101
391,100
392,102
393,103
394,101
395,100
396,104
397,101
398,106
399,9
400,105
401,9
402,104
403,91
404,102
405,104
406,108
407,109
408,103
409,104
410,94
411,110
412,104
413,84
414,105
415,109
416,107
417,106
418,105
419,105
420,107
421,107
422,105
423,111
424,105
425,107
426,87
427,105
428,108
429,109
430,110
431,2830
432,102
433,99
434,104
435,11
436,110
437,99
438,99
439,102
440,106
441,104
442,99
443,99
444,99
445,105
446,100
447,11
448,111
449,99
450,80
451,106
452,101
453,100
454,99
455,103
456,99
457,101
458,104
459,101
460,104
461,103
462,103
463,106
464,101
465,99
466,102
467,10
468,110
469,99
470,103
471,100
472,99
473,103
474,101
475,105
476,100
477,104
478,101
479,82
480,104
481,103
482,99
483,102
484,101
485,99
486,99
487,11
488,114
489,102
490,99
491,103
492,106
493,103
494,10
495,113
496,99
497,101
498,99
499,100
500,99
501,100
502,100
503,104
504,103
505,81
506,104
507,105
508,100
509,103
510,103
511,100
512,106
513,101
514,104
515,102
516,100
517,101
518,11
519,109
520,107
521,100
522,104
523,101
524,104
525,83
526,101
527,100
528,103
529,107
530,101
531,103
532,104
533,102
534,10
535,109
536,104
537,100
538,107
539,105
540,102
541,102
542,103
543,101
544,104
545,104
546,102
547,103
548,102
549,100
550,104
551,104
552,100
553,104
554,102
555,99
556,100
557,106
558,11
559,108
560,99
561,100
562,104
563,100
564,100
565,104
566,105
567,102
568,99
569,101
570,102
571,100
572,83
573,101
574,99
575,104
576,102
577,106
578,101
579,102
580,101
581,99
582,104
583,103
584,99
585,104
586,99
587,100
588,10
589,114
590,99
591,99
592,101
593,105
594,100
595,103
596,105
597,102
598,103
599,11
600,110
601,100
602,102
603,108
604,103
605,103
606,100
607,99
608,11
609,108
610,99
611,102
612,104
613,102
614,100
615,102
616,99
617,106
618,11
619,109
620,102
621,101
622,102
623,103
624,99
625,103
626,108
627,99
628,83
629,104
630,103
631,101
632,99
633,102
634,102
635,99
636,102
637,11
638,112
639,103
640,103
641,105
642,99
643,42
644,104
645,105
646,99
647,103
648,102
649,99
650,99
651,103
652,102
653,11
654,112
655,105
656,104
657,106
658,99
659,100
660,101
661,99
662,104
663,103
664,10
665,107
666,104
667,107
668,101
669,100
670,102
671,99
672,103
673,11
674,111
675,104
676,102
677,102
678,99
679,107
680,103
681,103
682,103
683,102
684,35
685,105
686,99
687,105
688,100
689,102
690,104
691,99
692,105
693,106
694,103
695,100
696,106
697,99
698,99
699,101
700,101
701,103
702,45
703,103
704,106
705,101
706,103
707,99
708,100
709,103
710,102
711,99
712,106
713,12
714,108
715,103
716,100
717,103
718,103
719,103
720,101
721,101
722,99
723,100
724,104
725,105
726,102
727,84
728,107
729,100
730,11
731,113
732,101
733,101
734,101
735,103
736,102
737,103
738,99
739,102
740,105
741,81
742,107
743,101
744,101
745,103
746,103
747,101
748,101
749,101
750,11
751,114
752,99
753,104
754,102
755,104
756,100
757,100
758,104
759,102
760,101
761,103
762,104
763,104
764,99
765,12
766,111
767,99
768,104
769,102
770,45
771,103
772,99
773,102
774,106
775,100
776,106
777,104
778,103
779,99
780,101
781,99
782,105
783,101
784,104
785,104
786,103
787,99
788,101
789,106
790,103
791,99
792,99
793,101
794,105
795,12
796,114
797,108
798,102
799,100
800,103
801,106
802,80
803,104
804,102
805,104
806,102
807,99
808,108
809,99
810,100
811,102
812,106
813,101
814,103
815,85
816,103
817,105
818,102
819,103
820,104
821,12
822,111
823,105
824,104
825,101
826,103
827,102
828,99
829,104
830,102
831,100
832,100
833,105
834,103
835,106
836,102
837,39
838,103
839,107
840,105
841,103
842,99
843,104
844,100
845,106
846,101
847,107
848,102
849,102
850,104
851,106
852,104
853,106
854,99
855,103
856,102
857,103
858,102
859,105
860,101
861,85
862,107
863,100
864,102
865,105
866,106
867,103
868,103
869,103
870,102
871,103
872,104
873,100
874,102
875,102
876,105
877,105
878,102
879,12
880,112
881,100
882,102
883,101
884,105
885,105
886,105
887,102
888,11
889,113
890,103
891,101
892,104
893,106
894,85
895,103
896,105
897,103
898,105
899,102
900,103
901,99
902,105
903,104
904,105
905,100
906,105
907,105
908,12
909,112
910,105
911,107
912,99
913,108
914,104
915,106
916,12
917,109
918,99
919,104
920,104
921,108
922,10
923,113
924,102
925,101
926,106
927,101
928,104
929,102
930,105
931,103
932,106
933,102
934,104
935,101
936,100
937,12
938,111
939,107
940,104
941,105
942,12
943,110
944,106
945,106
946,104
947,101
948,102
949,104
950,102
951,105
952,108
953,105
954,99
955,100
956,104
957,10
958,114
959,107
960,104
961,81
962,103
963,107
964,104
965,105
966,105
967,103
968,104
969,108
970,104
971,104
972,37
973,107
974,104
975,105
976,104
977,103
978,104
979,107
980,0
981,102
982,108
983,11
984,113
985,108
986,105
987,107
988,99
989,103
990,105
991,104
992,100
993,102
994,105
995,107
996,108
997,107
998,12
999,113
1000,106
1001,106
1002,107
1003,12
1004,111
1005,106
1006,103
1007,103
1008,108
1009,105
1010,106
1011,106
1012,107
1013,106
1014,104
1015,107
1016,47
1017,108
1018,105
1019,108
1020,107
1021,105
1022,108
1023,13
1024,116
1025,107
1026,108
1027,106
1028,108
1029,104
1030,108
1031,0
1032,105
1033,107
1034,108
1035,13
1036,115
1037,103
1038,106
1039,107
1040,108
1041,109
1042,108
1043,107
1044,108
1045,107
1046,106
1047,106
1048,105
1049,108
1050,109
1051,40
1052,110
1053,104
1054,109
1055,109
1056,106
1057,109
1058,107
1059,107
1060,107
1061,108
1062,13
1063,0
1064,107
1065,0
1066,0
1067,103
1068,106
1069,106
1070,107
1071,107
1072,109
1073,109
1074,108
1075,107
1076,38
1077,108
1078,109
1079,107
1080,107
1081,108
1082,107
1083,107
1084,13
1085,115
1086,106
1087,0
1088,109
1089,107
1090,106
1091,109
1092,108
1093,107
1094,108
1095,108
1096,107
1097,108
1098,13
1099,117
1100,109
1101,105
1102,40
1103,110
1104,107
1105,106
1106,107
1107,0
1108,106
1109,0
1110,105
1111,13
1112,0
1113,108
1114,107
1115,107
1116,103
1117,107
1118,0
1119,108
1120,105
1121,38
1122,109
1123,107
1124,107
1125,0
1126,0
1127,108
1128,105
1129,107
1130,107
1131,105
1132,105
1133,107
1134,108
1135,13
1136,0
1137,108
1138,0
1139,107
1140,109
1141,13
1142,113
1143,0
1144,107
1145,0
1146,105
1147,0
1148,108
1149,107
1150,108
1151,108
1152,0
1153,107
1154,107
1155,106
1156,107
1157,58
1158,0
1159,107
1160,14
1161,112
1162,108
1163,107
1164,108
1165,0
1166,0
1167,108
1168,106
1169,0
1170,29
1171,108
1172,108
1173,108
1174,108
1175,108
1176,0
1177,108
1178,108
1179,108
1180,0
1181,107
1182,107
1183,107
1184,109
1185,29
1186,0
1187,0
1188,108
1189,108
1190,0
1191,108
1192,108
1193,107
1194,107
1195,108
1196,107
1197,0
1198,29
1199,0
1200,107
1201,108
1202,0
1203,107
1204,39
1205,0
1206,0
1207,108
1208,0
1209,0
1210,107
1211,29
1212,109
1213,0
1214,0
1215,0
1216,105
1217,108
1218,0
1219,0
1220,38
1221,0
1222,108
1223,0
1224,0
1225,108
1226,108
1227,108
1228,109
