Round Number, No data in Sink
-1,0
1,1
2,93
3,183
4,273
5,363
6,453
7,546
8,636
9,726
10,816
11,825
12,915
13,1008
14,1098
15,1192
16,1283
17,1373
18,1463
19,1556
20,1649
21,1739
22,1829
23,1921
24,2012
25,2102
26,2192
27,2283
28,2293
29,2384
30,2474
31,2565
32,2655
33,2751
34,2845
35,2935
36,2971
37,3062
38,3152
39,3246
40,3256
41,3348
42,3441
43,3533
44,3623
45,3715
46,3805
47,3895
48,3985
49,4075
50,4165
51,4259
52,4353
53,4443
54,4453
55,4543
56,4639
57,4729
58,4819
59,4909
60,5002
61,5096
62,5104
63,5194
64,5284
65,5376
66,5466
67,5558
68,5648
69,5739
70,5829
71,5919
72,6013
73,6103
74,6193
75,6284
76,6374
77,6464
78,6490
79,6586
80,6678
81,6774
82,6864
83,6954
84,7046
85,7136
86,7226
87,7319
88,7414
89,7504
90,7594
91,7684
92,7713
93,7803
94,7895
95,7988
96,8078
97,8170
98,8265
99,8355
100,8445
101,8536
102,8628
103,8721
104,8811
105,8902
106,8992
107,9084
108,9112
109,9202
110,9294
111,9384
112,9474
113,9565
114,9656
115,9748
116,9839
117,9931
118,10004
119,10094
120,10188
121,10278
122,10372
123,10462
124,10555
125,10645
126,10735
127,10825
128,10853
129,10943
130,11034
131,11124
132,11218
133,11310
134,11400
135,11490
136,11518
137,11611
138,11701
139,11797
140,11888
141,11981
142,12071
143,12165
144,12255
145,12290
146,12380
147,12470
148,12562
149,12652
150,12742
151,12832
152,12923
153,13016
154,13106
155,13196
156,13206
157,13297
158,13391
159,13484
160,13576
161,13666
162,13674
163,13765
164,13857
165,13947
166,14037
167,14127
168,14217
169,14309
170,14399
171,14408
172,14498
173,14591
174,14683
175,14773
176,14866
177,14960
178,15050
179,15143
180,15151
181,15241
182,15337
183,15427
184,15520
185,15610
186,15700
187,15790
188,15880
189,15971
190,16061
191,16151
192,16241
193,16249
194,16342
195,16432
196,16527
197,16617
198,16707
199,16801
200,16891
201,16981
202,17076
203,17166
204,17260
205,17350
206,17440
207,17530
208,17622
209,17712
210,17802
211,17894
212,17984
213,18074
214,18170
215,18261
216,18351
217,18444
218,18454
219,18546
220,18640
221,18730
222,18821
223,18913
224,19006
225,19097
226,19190
227,19281
228,19378
229,19403
230,19500
231,19590
232,19686
233,19777
234,19871
235,19881
236,19972
237,20063
238,20160
239,20251
240,20342
241,20439
242,20530
243,20621
244,20712
245,20720
246,20814
247,20905
248,20997
249,21088
250,21161
251,21252
252,21343
253,21439
254,21532
255,21623
256,21714
257,21805
258,21898
259,21989
260,22080
261,22170
262,22264
263,22357
264,22450
265,22542
266,22551
267,22644
268,22736
269,22830
270,22923
271,23017
272,23111
273,23207
274,23303
275,23397
276,23405
277,23499
278,23593
279,23685
280,23783
281,23878
282,23974
283,24069
284,24159
285,24254
286,24350
287,24446
288,24545
289,24554
290,24655
291,24754
292,24851
293,24947
294,25046
295,25144
296,25181
297,25277
298,25373
299,25471
300,25568
301,25577
302,25669
303,25767
304,25864
305,25966
306,26063
307,26164
308,26261
309,26359
310,26456
311,26466
312,26566
313,26662
314,26759
315,26856
316,26953
317,27054
318,27154
319,27253
320,27354
321,27451
322,27489
323,27582
324,27680
325,27778
326,27876
327,27977
328,28077
329,28175
330,28274
331,28372
332,28462
333,28564
334,28662
335,28762
336,28863
337,28961
338,29061
339,29163
340,29172
341,29270
342,29368
343,29471
344,29572
345,29674
346,29764
347,29864
348,29962
349,30063
350,30161
351,30259
352,30357
353,30458
354,30468
355,30567
356,30658
357,30758
358,30858
359,30958
360,31056
361,31154
362,31252
363,31353
364,31363
365,31461
366,31566
367,31669
368,31774
369,31874
370,31975
371,32075
372,32167
373,32268
374,32307
375,32407
376,32507
377,32613
378,32716
379,32818
380,32898
381,32999
382,33100
383,33202
384,33304
385,33404
386,33505
387,33609
388,33702
389,33802
390,33903
391,34003
392,34105
393,34208
394,34309
395,34409
396,34513
397,34614
398,34720
399,34729
400,34834
401,34843
402,34947
403,35038
404,35140
405,35244
406,35352
407,35461
408,35564
409,35668
410,35762
411,35872
412,35976
413,36060
414,36165
415,36274
416,36381
417,36487
418,36592
419,36697
420,36804
421,36911
422,37016
423,37127
424,37232
425,37339
426,37426
427,37531
428,37639
429,37748
430,37858
431,40688
432,40790
433,40889
434,40993
435,41004
436,41114
437,41213
438,41312
439,41414
440,41520
441,41624
442,41723
443,41822
444,41921
445,42026
446,42126
447,42137
448,42248
449,42347
450,42427
451,42533
452,42634
453,42734
454,42833
455,42936
456,43035
457,43136
458,43240
459,43341
460,43445
461,43548
462,43651
463,43757
464,43858
465,43957
466,44059
467,44069
468,44179
469,44278
470,44381
471,44481
472,44580
473,44683
474,44784
475,44889
476,44989
477,45093
478,45194
479,45276
480,45380
481,45483
482,45582
483,45684
484,45785
485,45884
486,45983
487,45994
488,46108
489,46210
490,46309
491,46412
492,46518
493,46621
494,46631
495,46744
496,46843
497,46944
498,47043
499,47143
500,47242
501,47342
502,47442
503,47546
504,47649
505,47730
506,47834
507,47939
508,48039
509,48142
510,48245
511,48345
512,48451
513,48552
514,48656
515,48758
516,48858
517,48959
518,48970
519,49079
520,49186
521,49286
522,49390
523,49491
524,49595
525,49678
526,49779
527,49879
528,49982
529,50089
530,50190
531,50293
532,50397
533,50499
534,50509
535,50618
536,50722
537,50822
538,50929
539,51034
540,51136
541,51238
542,51341
543,51442
544,51546
545,51650
546,51752
547,51855
548,51957
549,52057
550,52161
551,52265
552,52365
553,52469
554,52571
555,52670
556,52770
557,52876
558,52887
559,52995
560,53094
561,53194
562,53298
563,53398
564,53498
565,53602
566,53707
567,53809
568,53908
569,54009
570,54111
571,54211
572,54294
573,54395
574,54494
575,54598
576,54700
577,54806
578,54907
579,55009
580,55110
581,55209
582,55313
583,55416
584,55515
585,55619
586,55718
587,55818
588,55828
589,55942
590,56041
591,56140
592,56241
593,56346
594,56446
595,56549
596,56654
597,56756
598,56859
599,56870
600,56980
601,57080
602,57182
603,57290
604,57393
605,57496
606,57596
607,57695
608,57706
609,57814
610,57913
611,58015
612,58119
613,58221
614,58321
615,58423
616,58522
617,58628
618,58639
619,58748
620,58850
621,58951
622,59053
623,59156
624,59255
625,59358
626,59466
627,59565
628,59648
629,59752
630,59855
631,59956
632,60055
633,60157
634,60259
635,60358
636,60460
637,60471
638,60583
639,60686
640,60789
641,60894
642,60993
643,61035
644,61139
645,61244
646,61343
647,61446
648,61548
649,61647
650,61746
651,61849
652,61951
653,61962
654,62074
655,62179
656,62283
657,62389
658,62488
659,62588
660,62689
661,62788
662,62892
663,62995
664,63005
665,63112
666,63216
667,63323
668,63424
669,63524
670,63626
671,63725
672,63828
673,63839
674,63950
675,64054
676,64156
677,64258
678,64357
679,64464
680,64567
681,64670
682,64773
683,64875
684,64910
685,65015
686,65114
687,65219
688,65319
689,65421
690,65525
691,65624
692,65729
693,65835
694,65938
695,66038
696,66144
697,66243
698,66342
699,66443
700,66544
701,66647
702,66692
703,66795
704,66901
705,67002
706,67105
707,67204
708,67304
709,67407
710,67509
711,67608
712,67714
713,67726
714,67834
715,67937
716,68037
717,68140
718,68243
719,68346
720,68447
721,68548
722,68647
723,68747
724,68851
725,68956
726,69058
727,69142
728,69249
729,69349
730,69360
731,69473
732,69574
733,69675
734,69776
735,69879
736,69981
737,70084
738,70183
739,70285
740,70390
741,70471
742,70578
743,70679
744,70780
745,70883
746,70986
747,71087
748,71188
749,71289
750,71300
751,71414
752,71513
753,71617
754,71719
755,71823
756,71923
757,72023
758,72127
759,72229
760,72330
761,72433
762,72537
763,72641
764,72740
765,72752
766,72863
767,72962
768,73066
769,73168
770,73213
771,73316
772,73415
773,73517
774,73623
775,73723
776,73829
777,73933
778,74036
779,74135
780,74236
781,74335
782,74440
783,74541
784,74645
785,74749
786,74852
787,74951
788,75052
789,75158
790,75261
791,75360
792,75459
793,75560
794,75665
795,75677
796,75791
797,75899
798,76001
799,76101
800,76204
801,76310
802,76390
803,76494
804,76596
805,76700
806,76802
807,76901
808,77009
809,77108
810,77208
811,77310
812,77416
813,77517
814,77620
815,77705
816,77808
817,77913
818,78015
819,78118
820,78222
821,78234
822,78345
823,78450
824,78554
825,78655
826,78758
827,78860
828,78959
829,79063
830,79165
831,79265
832,79365
833,79470
834,79573
835,79679
836,79781
837,79820
838,79923
839,80030
840,80135
841,80238
842,80337
843,80441
844,80541
845,80647
846,80748
847,80855
848,80957
849,81059
850,81163
851,81269
852,81373
853,81479
854,81578
855,81681
856,81783
857,81886
858,81988
859,82093
860,82194
861,82279
862,82386
863,82486
864,82588
865,82693
866,82799
867,82902
868,83005
869,83108
870,83210
871,83313
872,83417
873,83517
874,83619
875,83721
876,83826
877,83931
878,84033
879,84045
880,84157
881,84257
882,84359
883,84460
884,84565
885,84670
886,84775
887,84877
888,84888
889,85001
890,85104
891,85205
892,85309
893,85415
894,85500
895,85603
896,85708
897,85811
898,85916
899,86018
900,86121
901,86220
902,86325
903,86429
904,86534
905,86634
906,86739
907,86844
908,86856
909,86968
910,87073
911,87180
912,87279
913,87387
914,87491
915,87597
916,87609
917,87718
918,87817
919,87921
920,88025
921,88133
922,88143
923,88256
924,88358
925,88459
926,88565
927,88666
928,88770
929,88872
930,88977
931,89080
932,89186
933,89288
934,89392
935,89493
936,89593
937,89605
938,89716
939,89823
940,89927
941,90032
942,90044
943,90154
944,90260
945,90366
946,90470
947,90571
948,90673
949,90777
950,90879
951,90984
952,91092
953,91197
954,91296
955,91396
956,91500
957,91510
958,91624
959,91731
960,91835
961,91916
962,92019
963,92126
964,92230
965,92335
966,92440
967,92543
968,92647
969,92755
970,92859
971,92963
972,93000
973,93107
974,93211
975,93316
976,93420
977,93523
978,93627
979,93734
980,93734
981,93836
982,93944
983,93955
984,94068
985,94176
986,94281
987,94388
988,94487
989,94590
990,94695
991,94799
992,94899
993,95001
994,95106
995,95213
996,95321
997,95428
998,95440
999,95553
1000,95659
1001,95765
1002,95872
1003,95884
1004,95995
1005,96101
1006,96204
1007,96307
1008,96415
1009,96520
1010,96626
1011,96732
1012,96839
1013,96945
1014,97049
1015,97156
1016,97203
1017,97311
1018,97416
1019,97524
1020,97631
1021,97736
1022,97844
1023,97857
1024,97973
1025,98080
1026,98188
1027,98294
1028,98402
1029,98506
1030,98614
1031,98614
1032,98719
1033,98826
1034,98934
1035,98947
1036,99062
1037,99165
1038,99271
1039,99378
1040,99486
1041,99595
1042,99703
1043,99810
1044,99918
1045,100025
1046,100131
1047,100237
1048,100342
1049,100450
1050,100559
1051,100599
1052,100709
1053,100813
1054,100922
1055,101031
1056,101137
1057,101246
1058,101353
1059,101460
1060,101567
1061,101675
1062,101688
1063,101688
1064,101795
1065,101795
1066,101795
1067,101898
1068,102004
1069,102110
1070,102217
1071,102324
1072,102433
1073,102542
1074,102650
1075,102757
1076,102795
1077,102903
1078,103012
1079,103119
1080,103226
1081,103334
1082,103441
1083,103548
1084,103561
1085,103676
1086,103782
1087,103782
1088,103891
1089,103998
1090,104104
1091,104213
1092,104321
1093,104428
1094,104536
1095,104644
1096,104751
1097,104859
1098,104872
1099,104989
1100,105098
1101,105203
1102,105243
1103,105353
1104,105460
1105,105566
1106,105673
1107,105673
1108,105779
1109,105779
1110,105884
1111,105897
1112,105897
1113,106005
1114,106112
1115,106219
1116,106322
1117,106429
1118,106429
1119,106537
1120,106642
1121,106680
1122,106789
1123,106896
1124,107003
1125,107003
1126,107003
1127,107111
1128,107216
1129,107323
1130,107430
1131,107535
1132,107640
1133,107747
1134,107855
1135,107868
1136,107868
1137,107976
1138,107976
1139,108083
1140,108192
1141,108205
1142,108318
1143,108318
1144,108425
1145,108425
1146,108530
1147,108530
1148,108638
1149,108745
1150,108853
1151,108961
1152,108961
1153,109068
1154,109175
1155,109281
1156,109388
1157,109446
1158,109446
1159,109553
1160,109567
1161,109679
1162,109787
1163,109894
1164,110002
1165,110002
1166,110002
1167,110110
1168,110216
1169,110216
1170,110245
1171,110353
1172,110461
1173,110569
1174,110677
1175,110785
1176,110785
1177,110893
1178,111001
1179,111109
1180,111109
1181,111216
1182,111323
1183,111430
1184,111539
1185,111568
1186,111568
1187,111568
1188,111676
1189,111784
1190,111784
1191,111892
1192,112000
1193,112107
1194,112214
1195,112322
1196,112429
1197,112429
1198,112458
1199,112458
1200,112565
1201,112673
1202,112673
1203,112780
1204,112819
1205,112819
1206,112819
1207,112927
1208,112927
1209,112927
1210,113034
1211,113063
1212,113172
1213,113172
1214,113172
1215,113172
1216,113277
1217,113385
1218,113385
1219,113385
1220,113423
1221,113423
1222,113531
1223,113531
1224,113531
1225,113639
1226,113747
1227,113855
1228,113964
