Round Number, Network Remaining Energy
-1,50.000000
1,49.991879
2,49.896174
3,49.817727
4,49.728518
5,49.650115
6,49.554532
7,49.458892
8,49.367033
9,49.362867
10,49.335000
11,49.251478
12,49.163663
13,49.084247
14,48.995245
15,48.915370
16,48.812185
17,48.721500
18,48.621158
19,48.533064
20,48.414754
21,48.325979
22,48.235498
23,48.127992
24,48.054192
25,47.987912
26,47.902167
27,47.897566
28,47.811603
29,47.743183
30,47.717679
31,47.633333
32,47.550525
33,47.457170
34,47.347648
35,47.268748
36,47.175324
37,47.073666
38,46.977716
39,46.888430
40,46.825208
41,46.723669
42,46.668028
43,46.597831
44,46.505134
45,46.410334
46,46.290312
47,46.237672
48,46.175458
49,46.093547
50,45.983547
51,45.894425
52,45.890039
53,45.792063
54,45.697237
55,45.631521
56,45.536966
57,45.475617
58,45.376064
59,45.276638
60,45.176610
61,45.084717
62,44.989167
63,44.900746
64,44.817319
65,44.723215
66,44.719040
67,44.625629
68,44.567656
69,44.482235
70,44.448057
71,44.345999
72,44.264328
73,44.166843
74,44.078059
75,43.982138
76,43.904077
77,43.808408
78,43.711263
79,43.631308
80,43.551438
81,43.465410
82,43.393611
83,43.306508
84,43.199628
85,43.104798
86,42.994090
87,42.962640
88,42.882307
89,42.794024
90,42.708207
91,42.610470
92,42.536334
93,42.433413
94,42.332655
95,42.235512
96,42.173381
97,42.082085
98,42.048486
99,41.991631
100,41.915953
101,41.813023
102,41.715963
103,41.622623
104,41.539580
105,41.474644
106,41.389104
107,41.337170
108,41.277663
109,41.183234
110,41.080178
111,41.010193
112,40.900965
113,40.814814
114,40.727179
115,40.691046
116,40.619448
117,40.540001
118,40.438569
119,40.344329
120,40.251721
121,40.165189
122,40.078551
123,40.015856
124,39.922433
125,39.887581
126,39.791104
127,39.686015
128,39.584170
129,39.496236
130,39.399391
131,39.309480
132,39.192169
133,39.109938
134,39.024390
135,38.929500
136,38.924766
137,38.819279
138,38.739189
139,38.673710
140,38.615772
141,38.509025
142,38.432868
143,38.371501
144,38.288212
145,38.250514
146,38.148417
147,38.057515
148,37.974551
149,37.882079
150,37.806731
151,37.706485
152,37.589339
153,37.499787
154,37.429190
155,37.342390
156,37.252396
157,37.194207
158,37.107558
159,37.012351
160,36.924668
161,36.836155
162,36.761377
163,36.669785
164,36.581748
165,36.479533
166,36.396928
167,36.305507
168,36.267511
169,36.167129
170,36.075848
171,36.018590
172,35.918588
173,35.833757
174,35.733593
175,35.696720
176,35.624929
177,35.535644
178,35.442963
179,35.379525
180,35.284836
181,35.189283
182,35.184363
183,35.098929
184,35.026955
185,34.942424
186,34.848468
187,34.780759
188,34.713690
189,34.610140
190,34.530532
191,34.453647
192,34.398251
193,34.394486
194,34.323191
195,34.229965
196,34.160325
197,34.076379
198,33.997543
199,33.899920
200,33.818015
201,33.728024
202,33.635762
203,33.622662
204,33.541051
205,33.444688
206,33.366850
207,33.281518
208,33.200776
209,33.139015
210,33.060856
211,33.000682
212,32.933074
213,32.852451
214,32.762522
215,32.678871
216,32.598345
217,32.594176
218,32.504596
219,32.426365
220,32.354555
221,32.269119
222,32.192591
223,32.149793
224,32.114437
225,32.046780
226,31.968878
227,31.884164
228,31.804852
229,31.711643
230,31.651821
231,31.567348
232,31.489077
233,31.433226
