Round Number, Total Energy Consumption
-1,0.000000
1,0.008121
2,0.103826
3,0.182273
4,0.271482
5,0.349885
6,0.445468
7,0.541108
8,0.632967
9,0.637133
10,0.665000
11,0.748522
12,0.836337
13,0.915753
14,1.004755
15,1.084630
16,1.187815
17,1.278500
18,1.378842
19,1.466936
20,1.585246
21,1.674021
22,1.764502
23,1.872008
24,1.945808
25,2.012088
26,2.097833
27,2.102434
28,2.188397
29,2.256817
30,2.282321
31,2.366667
32,2.449475
33,2.542830
34,2.652352
35,2.731252
36,2.824676
37,2.926334
38,3.022284
39,3.111570
40,3.174792
41,3.276331
42,3.331972
43,3.402169
44,3.494866
45,3.589666
46,3.709688
47,3.762328
48,3.824542
49,3.906453
50,4.016453
51,4.105575
52,4.109961
53,4.207937
54,4.302763
55,4.368479
56,4.463034
57,4.524383
58,4.623936
59,4.723362
60,4.823390
61,4.915283
62,5.010833
63,5.099254
64,5.182681
65,5.276785
66,5.280960
67,5.374371
68,5.432344
69,5.517765
70,5.551943
71,5.654001
72,5.735672
73,5.833157
74,5.921941
75,6.017862
76,6.095923
77,6.191592
78,6.288737
79,6.368692
80,6.448562
81,6.534590
82,6.606389
83,6.693492
84,6.800372
85,6.895202
86,7.005910
87,7.037360
88,7.117693
89,7.205976
90,7.291793
91,7.389530
92,7.463666
93,7.566587
94,7.667345
95,7.764488
96,7.826619
97,7.917915
98,7.951514
99,8.008369
100,8.084047
101,8.186977
102,8.284037
103,8.377377
104,8.460420
105,8.525356
106,8.610896
107,8.662830
108,8.722337
109,8.816766
110,8.919822
111,8.989807
112,9.099035
113,9.185186
114,9.272821
115,9.308954
116,9.380552
117,9.459999
118,9.561431
119,9.655671
120,9.748279
121,9.834811
122,9.921449
123,9.984144
124,10.077567
125,10.112419
126,10.208896
127,10.313985
128,10.415830
129,10.503764
130,10.600609
131,10.690520
132,10.807831
133,10.890062
134,10.975610
135,11.070500
136,11.075234
137,11.180721
138,11.260811
139,11.326290
140,11.384228
141,11.490975
142,11.567132
143,11.628499
144,11.711788
145,11.749486
146,11.851583
147,11.942485
148,12.025449
149,12.117921
150,12.193269
151,12.293515
152,12.410661
153,12.500213
154,12.570810
155,12.657610
156,12.747604
157,12.805793
158,12.892442
159,12.987649
160,13.075332
161,13.163845
162,13.238623
163,13.330215
164,13.418252
165,13.520467
166,13.603072
167,13.694493
168,13.732489
169,13.832871
170,13.924152
171,13.981410
172,14.081412
173,14.166243
174,14.266407
175,14.303280
176,14.375071
177,14.464356
178,14.557037
179,14.620475
180,14.715164
181,14.810717
182,14.815637
183,14.901071
184,14.973045
185,15.057576
186,15.151532
187,15.219241
188,15.286310
189,15.389860
190,15.469468
191,15.546353
192,15.601749
193,15.605514
194,15.676809
195,15.770035
196,15.839675
197,15.923621
198,16.002457
199,16.100080
200,16.181985
201,16.271976
202,16.364238
203,16.377338
204,16.458949
205,16.555312
206,16.633150
207,16.718482
208,16.799224
209,16.860985
210,16.939144
211,16.999318
212,17.066926
213,17.147549
214,17.237478
215,17.321129
216,17.401655
217,17.405824
218,17.495404
219,17.573635
220,17.645445
221,17.730881
222,17.807409
223,17.850207
224,17.885563
225,17.953220
226,18.031122
227,18.115836
228,18.195148
229,18.288357
230,18.348179
231,18.432652
232,18.510923
233,18.566774
234,18.623567
235,18.693296
236,18.768873
237,18.842403
238,18.911754
239,19.007769
240,19.040551
