Round Number, No of CH
-1,0
1,12
2,9
3,11
4,10
5,14
6,12
7,9
8,12
9,11
10,10
11,13
12,15
13,6
14,10
15,8
16,9
17,9
18,12
19,8
20,7
21,11
22,11
23,13
24,10
25,9
26,10
27,12
28,8
29,9
30,10
31,12
32,11
33,9
34,4
35,10
36,9
37,12
38,14
39,9
40,5
41,8
42,12
43,8
44,9
45,10
46,21
47,13
48,6
49,8
50,9
51,10
52,7
53,16
54,9
55,10
56,11
57,8
58,11
59,9
60,9
61,9
62,11
63,9
64,10
65,10
66,10
67,13
68,7
69,12
70,11
71,12
72,10
73,8
74,8
75,7
76,9
77,14
78,13
79,8
80,7
81,5
82,8
83,15
84,12
85,10
86,14
87,11
88,5
89,13
90,9
91,12
92,10
93,9
94,9
95,11
96,5
97,14
98,14
99,7
100,9
101,13
102,7
103,8
104,10
105,9
106,6
107,15
108,11
109,12
110,12
111,6
112,20
113,7
114,7
115,13
116,8
117,11
118,7
119,9
120,12
121,7
122,12
123,8
124,7
125,11
126,12
127,8
128,11
129,12
130,10
131,13
132,18
133,7
134,8
135,10
136,8
137,13
138,7
139,6
140,8
141,8
142,7
143,7
144,7
145,14
146,14
147,10
148,13
149,12
150,12
151,10
152,11
153,16
154,5
155,9
156,15
157,5
158,8
159,9
160,10
161,9
162,10
163,8
164,6
165,18
166,9
167,11
168,11
169,8
170,7
171,7
172,13
173,13
174,12
175,10
176,12
177,9
178,9
179,8
180,17
181,12
182,5
183,14
184,4
185,9
186,8
187,8
188,8
189,12
190,10
191,8
192,10
193,10
194,10
195,11
196,8
197,9
198,8
199,12
200,14
201,11
202,9
203,8
204,9
205,8
206,4
207,12
208,14
209,5
210,14
211,8
212,7
213,8
214,8
215,6
216,11
217,9
218,13
219,9
220,9
221,7
222,7
223,9
224,8
225,7
226,9
227,11
228,13
229,12
230,8
231,10
232,11
233,7
234,14
235,8
236,6
237,11
238,8
239,8
240,10
241,5
242,12
243,8
244,11
245,6
246,9
247,9
248,9
249,11
250,15
251,9
252,9
253,6
254,7
255,9
256,8
257,12
258,7
259,8
260,10
261,4
262,9
263,6
264,12
265,10
266,11
267,9
268,11
269,7
270,12
271,11
272,10
273,9
274,9
275,7
276,6
277,8
278,6
279,8
280,12
281,9
282,9
283,9
284,9
285,8
286,11
287,3
288,10
289,6
290,5
291,10
292,5
293,10
294,9
295,8
296,8
297,10
298,16
299,5
300,8
301,10
302,11
303,9
304,5
305,7
306,11
307,10
308,7
309,8
310,8
311,9
312,7
313,9
314,14
315,5
316,8
317,9
318,4
319,13
320,9
321,11
322,11
323,14
324,8
325,9
326,6
327,7
328,5
329,6
330,13
331,6
332,15
333,2
334,11
335,7
336,6
337,12
338,6
339,6
340,11
341,8
342,7
343,11
344,5
345,11
346,8
347,4
348,9
349,7
350,5
351,11
352,4
353,9
354,12
355,9
356,4
357,8
358,10
359,9
360,14
361,6
362,8
363,13
364,5
365,6
366,6
367,7
368,9
369,7
370,14
371,6
372,12
373,8
374,6
375,6
376,8
377,7
378,8
379,6
380,11
381,10
382,9
383,12
384,6
385,6
386,7
387,8
388,5
389,7
390,3
391,3
392,7
393,11
394,11
395,10
396,9
397,14
398,6
399,7
400,9
401,9
402,13
403,5
404,10
405,10
406,10
407,1
408,10
409,4
410,12
411,8
412,4
413,6
414,5
415,5
416,14
417,9
418,12
419,5
420,7
421,9
422,10
423,5
424,11
425,6
426,9
427,8
428,6
429,9
430,12
431,9
432,8
433,8
434,7
435,6
436,7
437,5
438,9
439,9
440,8
441,5
442,10
443,10
444,4
445,8
446,10
447,4
448,12
449,9
450,10
451,10
452,7
453,3
454,11
455,8
456,8
457,6
458,9
459,8
460,8
461,7
462,10
463,8
464,7
465,13
466,7
467,3
468,7
469,10
470,11
471,5
