Round Number, Throughput
-1,0
1,1
2,91
3,89
4,90
5,86
6,88
7,91
8,88
9,9
10,7
11,87
12,85
13,94
14,90
15,92
16,91
17,91
18,88
19,92
20,93
21,89
22,89
23,87
24,90
25,91
26,90
27,10
28,92
29,91
30,35
31,88
32,89
33,91
34,96
35,90
36,91
37,88
38,86
39,91
40,95
41,92
42,88
43,92
44,91
45,90
46,79
47,10
48,94
49,92
50,91
51,90
52,9
53,84
54,91
55,90
56,89
57,92
58,89
59,91
60,91
61,91
62,89
63,91
64,90
65,90
66,9
67,87
68,93
69,88
70,70
71,88
72,90
73,92
74,92
75,93
76,91
77,86
78,87
79,92
80,93
81,95
82,92
83,85
84,88
85,90
86,86
87,70
88,95
89,87
90,91
91,88
92,90
93,91
94,91
95,89
96,95
97,86
98,69
99,93
100,91
101,87
102,93
103,92
104,90
105,91
106,94
107,9
108,89
109,88
110,88
111,94
112,80
113,93
114,93
115,72
116,92
117,89
118,93
119,91
120,88
121,93
122,88
123,92
124,93
125,9
126,88
127,92
128,89
129,88
130,90
131,87
132,82
133,93
134,92
135,90
136,10
137,87
138,93
139,94
140,92
141,92
142,93
143,93
144,93
145,25
146,86
147,90
148,87
149,88
150,88
151,90
152,89
153,84
154,95
155,91
156,85
157,95
158,92
159,91
160,90
161,91
162,90
163,92
164,94
165,82
166,91
167,89
168,9
169,92
170,93
171,93
172,87
173,88
174,90
175,74
176,90
177,91
178,93
179,94
180,86
181,91
182,10
183,89
184,99
185,94
186,95
187,95
188,95
189,88
190,94
191,97
192,95
193,8
194,90
195,94
196,97
197,97
198,98
199,94
200,92
201,95
202,97
203,10
204,97
205,98
206,103
207,95
208,93
209,95
210,93
211,99
212,101
213,100
214,92
215,102
216,97
217,10
218,95
219,99
220,99
221,101
222,101
223,91
224,81
225,102
226,100
227,98
228,96
229,97
230,92
231,99
232,98
233,102
234,95
235,101
236,103
237,98
238,101
239,101
240,73
241,104
242,97
243,101
244,98
245,103
246,100
247,100
248,100
249,98
250,85
251,100
252,101
253,104
254,103
255,101
256,102
257,79
258,103
259,102
260,100
261,10
262,101
263,104
264,98
265,100
266,100
267,102
268,100
269,93
270,88
271,100
272,101
273,102
274,102
275,11
276,105
277,103
278,105
279,103
280,99
281,102
282,91
283,102
284,102
285,81
286,100
287,108
288,101
289,105
290,10
291,101
292,106
293,101
294,102
295,92
296,103
297,101
298,95
299,106
300,103
301,101
302,100
303,102
304,106
305,11
306,89
307,101
308,104
309,103
310,103
311,102
312,10
313,102
314,97
315,106
316,92
317,102
318,107
319,98
320,91
321,100
322,100
323,79
324,103
325,103
326,106
327,106
328,108
329,107
330,100
331,107
332,99
333,112
334,89
335,108
336,109
337,10
338,109
339,109
340,104
341,107
342,108
343,104
344,1981
345,98
346,101
347,105
348,100
349,102
350,104
351,98
352,105
353,100
354,97
355,100
356,105
357,101
358,99
359,100
360,95
361,103
362,101
363,80
364,105
365,103
366,103
367,102
368,100
369,102
370,95
371,103
372,97
373,101
374,103
375,103
376,101
377,9
378,110
379,103
380,98
381,99
382,100
383,97
384,103
385,11
386,111
387,101
388,104
389,102
390,106
391,106
392,102
393,80
394,99
395,99
396,100
397,95
398,103
399,102
400,100
401,100
402,36
403,105
404,99
405,99
406,99
407,108
408,99
409,105
410,97
411,101
412,105
413,103
414,104
415,104
416,95
417,100
418,78
419,105
420,102
421,100
422,99
423,104
424,98
425,84
426,101
427,101
428,103
429,100
430,97
431,100
432,101
433,101
434,102
435,103
436,102
437,104
438,100
439,11
440,109
441,104
442,48
443,100
444,105
445,101
446,99
447,105
448,97
449,100
450,99
451,99
452,102
453,106
454,98
455,101
456,11
457,111
458,100
459,101
460,101
461,12
462,107
463,101
464,102
465,96
466,102
467,106
468,102
469,99
470,98
471,104
472,101
473,98
474,106
475,103
476,100
477,12
478,108
479,98
480,99
481,99
482,100
483,102
484,100
485,12
486,112
487,98
488,107
489,102
490,102
491,104
492,11
493,104
494,102
495,103
496,103
497,102
498,96
499,104
500,97
501,105
502,101
503,103
504,102
505,102
506,36
507,106
508,105
509,94
510,105
511,103
512,102
513,104
514,100
515,11
516,108
517,100
518,107
519,103
520,103
521,104
522,102
523,104
524,105
525,99
526,104
527,102
528,11
529,110
530,99
531,102
532,100
533,105
534,105
535,103
536,101
537,12
538,111
539,101
540,104
541,12
542,111
543,98
544,104
545,103
546,105
547,103
548,102
549,101
550,105
551,104
552,102
553,12
554,111
555,100
556,96
557,102
558,100
559,104
560,81
561,103
562,101
563,101
564,105
565,103
566,99
567,106
568,99
569,98
570,102
571,100
572,100
573,105
574,98
575,102
576,102
577,99
578,105
579,100
580,100
581,101
582,103
583,100
584,102
585,102
586,104
587,36
588,103
589,101
590,106
591,103
592,94
593,103
594,104
595,37
596,99
597,104
598,103
599,101
600,101
601,104
602,101
603,104
604,101
605,98
606,10
607,107
608,106
609,100
610,104
611,34
612,100
613,98
614,101
615,104
616,103
617,105
618,100
619,103
620,104
621,103
622,101
623,102
624,101
625,101
626,104
627,12
628,109
629,101
630,102
631,101
632,99
633,12
634,111
635,103
636,105
637,103
638,99
639,103
640,99
641,102
642,99
643,102
644,103
645,104
646,12
647,110
648,99
649,104
650,106
651,102
652,103
653,98
654,99
655,99
656,104
657,103
658,101
659,11
660,11
661,118
662,104
663,101
664,102
665,103
666,101
667,100
668,103
669,98
670,99
671,102
672,104
673,105
674,11
675,112
676,99
677,100
678,101
679,103
680,101
681,101
682,98
683,108
684,99
685,103
686,101
687,106
688,99
689,11
690,112
691,103
692,106
693,103
694,102
695,96
696,99
697,104
698,98
699,85
700,97
701,104
702,103
703,12
704,110
705,97
706,102
707,103
708,101
709,107
710,98
711,104
712,102
713,101
714,82
715,103
716,103
717,102
718,104
719,101
720,104
721,100
722,10
723,108
724,102
725,105
726,100
727,103
728,105
729,99
730,103
731,108
732,103
733,102
734,105
735,81
736,105
737,103
738,96
739,97
740,105
741,98
742,101
743,101
744,101
745,102
746,105
747,11
748,110
749,103
750,102
751,12
752,110
753,99
754,104
755,103
756,104
757,102
758,101
759,101
760,98
761,105
762,12
763,111
764,104
765,106
766,96
767,103
768,102
769,100
770,104
771,104
772,103
773,101
774,104
775,105
776,99
777,101
778,99
779,101
780,103
781,102
782,99
783,104
784,96
785,102
786,102
787,105
788,11
789,111
790,105
791,101
792,12
793,108
794,96
795,102
796,104
797,103
798,103
799,103
800,102
801,100
802,104
803,99
804,103
805,103
806,105
807,103
808,100
809,102
810,94
811,47
812,104
813,101
814,105
815,104
816,103
817,103
818,104
819,103
820,101
821,103
822,107
823,103
824,104
825,102
826,100
827,100
828,35
829,101
830,81
831,102
832,100
833,99
834,105
835,105
836,102
837,102
838,104
839,106
840,101
841,106
842,106
843,104
844,103
845,97
846,106
847,97
848,101
849,12
850,111
851,101
852,104
853,97
854,101
855,104
856,103
857,102
858,107
859,103
860,104
861,105
862,82
863,105
864,103
865,97
866,103
867,102
868,103
869,103
870,100
871,103
872,106
873,101
874,78
875,103
876,107
877,103
878,103
879,104
880,103
881,105
882,38
883,104
884,102
885,107
886,102
887,102
888,99
889,103
890,103
891,102
892,12
893,110
894,100
895,108
896,99
897,103
898,107
899,105
900,97
901,103
902,106
903,103
904,37
905,104
906,107
907,103
908,104
909,107
910,102
911,101
912,105
913,104
914,104
915,107
916,104
917,102
918,86
919,105
920,100
921,102
922,105
923,103
924,103
925,107
926,103
927,36
928,108
929,105
930,12
931,109
932,105
933,103
934,104
935,103
936,104
937,107
938,106
939,102
940,104
941,101
942,100
943,11
944,113
945,106
946,102
947,105
948,105
949,105
950,0
951,104
952,107
953,106
954,103
955,105
956,99
957,108
958,11
959,109
960,104
961,103
962,105
963,107
964,105
965,108
966,103
967,106
968,105
969,98
970,104
971,104
972,106
973,105
974,105
975,106
976,104
977,102
978,85
979,108
980,103
981,105
982,104
983,104
984,104
985,88
986,102
987,108
988,105
989,107
990,105
991,12
992,111
993,105
994,106
995,105
996,106
997,106
998,104
999,104
1000,108
1001,104
1002,102
1003,108
1004,0
1005,104
1006,84
1007,104
1008,105
1009,106
1010,104
1011,105
1012,108
1013,106
1014,107
1015,86
1016,108
1017,107
1018,105
1019,109
1020,107
1021,87
1022,109
1023,105
1024,108
1025,106
1026,106
1027,107
1028,108
1029,108
1030,11
1031,118
1032,106
1033,109
1034,108
1035,106
1036,109
1037,108
1038,105
1039,105
1040,103
1041,0
1042,12
1043,117
1044,107
1045,108
1046,109
1047,109
1048,105
1049,105
1050,11
1051,116
1052,107
1053,109
1054,108
1055,105
1056,107
1057,108
1058,105
1059,107
1060,104
1061,107
1062,0
1063,106
1064,107
1065,108
1066,109
1067,107
1068,38
1069,109
1070,109
1071,107
1072,107
1073,106
1074,106
1075,109
1076,108
1077,106
1078,13
1079,117
1080,0
1081,109
1082,38
1083,108
1084,109
1085,109
1086,107
1087,104
1088,107
1089,108
1090,108
1091,0
1092,105
1093,0
1094,108
1095,13
1096,114
1097,109
1098,107
1099,107
1100,13
1101,116
1102,106
1103,109
1104,108
1105,106
1106,109
1107,108
1108,108
1109,104
1110,0
1111,107
1112,107
1113,106
1114,108
1115,39
1116,107
1117,108
1118,106
1119,106
1120,107
1121,106
1122,108
1123,107
1124,0
1125,107
1126,86
1127,107
1128,0
1129,105
1130,107
1131,105
1132,106
1133,107
1134,0
1135,107
1136,13
1137,112
1138,108
1139,108
1140,0
1141,107
1142,108
1143,108
1144,106
1145,107
1146,13
1147,114
1148,106
1149,0
1150,0
1151,107
1152,107
1153,38
1154,109
1155,105
1156,0
1157,107
1158,108
1159,106
1160,108
1161,0
1162,107
1163,88
1164,0
1165,107
1166,107
1167,107
1168,108
1169,106
1170,107
1171,108
1172,107
1173,108
1174,0
1175,108
1176,108
1177,106
1178,39
1179,109
